"analysis","quantity","trait1","trait2","planned","completed","finite","mean_truth","mean_estimate","bias","rmse","intervals","covered","interval_kind"
"gnova_rg","rg","A","B",10,10,10,0.564091539890233,0.552566624432838,-0.0115249154573952,0.218031726285599,10,10,"normal_approximation:block_jackknife"
"ldsc_annotation_rg","rg","A","B",10,10,10,0.564091539890233,0.546540203215067,-0.0175513366751659,0.171470561937618,10,10,"normal_approximation:block_jackknife"
"ldsc_rg","rg","A","B",10,10,10,0.564091539890233,0.551198216175196,-0.0128933237150367,0.214953743826297,10,10,"normal_approximation:block_jackknife"
"sumher_rg","rg","A","B",10,10,10,0.564091539890233,0.551197926190355,-0.0128936136998775,0.214953608001601,10,10,"normal_approximation:fixed_weight_block_jackknife"
"gnova_rg","rg","A","C",10,10,10,0.573393246764584,0.592504961582628,0.0191117148180439,0.207352887642553,10,10,"normal_approximation:block_jackknife"
"ldsc_annotation_rg","rg","A","C",10,10,10,0.573393246764584,0.57328875295216,-0.000104493812424089,0.140958622738002,10,10,"normal_approximation:block_jackknife"
"ldsc_rg","rg","A","C",10,10,10,0.573393246764584,0.596957566295586,0.0235643195310022,0.200738312252906,10,10,"normal_approximation:block_jackknife"
"sumher_rg","rg","A","C",10,10,10,0.573393246764584,0.596957375484662,0.0235641287200782,0.200738082190409,10,10,"normal_approximation:fixed_weight_block_jackknife"
"gnova_rg","rg","B","C",10,10,10,0.717554771305126,0.605577662604473,-0.111977108700653,0.191844452106612,10,9,"normal_approximation:block_jackknife"
"ldsc_annotation_rg","rg","B","C",10,10,10,0.717554771305126,0.660679469457348,-0.0568753018477777,0.137220711266267,10,10,"normal_approximation:block_jackknife"
"ldsc_rg","rg","B","C",10,10,10,0.717554771305126,0.611781731594876,-0.105773039710249,0.187687938361645,10,9,"normal_approximation:block_jackknife"
"sumher_rg","rg","B","C",10,10,10,0.717554771305126,0.611781499288342,-0.105773272016784,0.187688079351453,10,9,"normal_approximation:fixed_weight_block_jackknife"
"bayesc","h2","A",NA,10,10,10,0.300138452009916,0.313046678728391,0.0129082267184751,0.0140294784199507,10,10,"conditional_equal_tailed_posterior"
"bayesr","h2","A",NA,10,10,10,0.300138452009916,0.306214649675784,0.00607619766586853,0.0103131256244319,10,10,"conditional_equal_tailed_posterior"
"gnova_h2","h2","A",NA,10,10,10,0.300138452009916,0.25912712229174,-0.0410113297181758,0.0789004843077212,10,10,"normal_approximation:block_jackknife"
"ldsc_annotation_h2","h2","A",NA,10,10,10,0.300138452009916,0.347096756134153,0.0469583041242375,0.0813785467813771,10,10,"normal_approximation:block_jackknife"
"ldsc_h2","h2","A",NA,10,10,10,0.300138452009916,0.263487869055819,-0.0366505829540965,0.0772983850123522,10,10,"normal_approximation:block_jackknife"
"sumher_h2","h2","A",NA,10,10,10,0.300138452009916,0.263487935176738,-0.0366505168331784,0.0772983188079083,10,10,"normal_approximation:fixed_weight_block_jackknife"
"gnova_h2","h2","B",NA,10,10,10,0.400718088647038,0.289477580421741,-0.111240508225298,0.128563011208034,10,7,"normal_approximation:block_jackknife"
"ldsc_annotation_h2","h2","B",NA,10,10,10,0.400718088647038,0.402432287836894,0.00171419918985601,0.0701100358041746,10,10,"normal_approximation:block_jackknife"
"ldsc_h2","h2","B",NA,10,10,10,0.400718088647038,0.296579165290301,-0.104138923356737,0.12305970697428,10,8,"normal_approximation:block_jackknife"
"sumher_h2","h2","B",NA,10,10,10,0.400718088647038,0.296579338038004,-0.104138750609034,0.123059542878093,10,8,"normal_approximation:fixed_weight_block_jackknife"
"gnova_h2","h2","C",NA,10,10,10,0.34942489753093,0.291307147002203,-0.0581177505287272,0.0928696534365408,10,9,"normal_approximation:block_jackknife"
"ldsc_annotation_h2","h2","C",NA,10,10,10,0.34942489753093,0.394110309488444,0.0446854119575139,0.0916684412283472,10,10,"normal_approximation:block_jackknife"
"ldsc_h2","h2","C",NA,10,10,10,0.34942489753093,0.296526253274417,-0.0528986442565138,0.0904496807630999,10,9,"normal_approximation:block_jackknife"
"sumher_h2","h2","C",NA,10,10,10,0.34942489753093,0.296526316647795,-0.0528985808831351,0.0904496383815142,10,9,"normal_approximation:fixed_weight_block_jackknife"
