"replicate","seed","trait","markers","causal_markers","threshold","significant_markers","significant_causal","significant_zero_effect"
1,20262100,"A",50000,1007,1e-06,2,2,0
1,20262100,"B",50000,1007,1e-06,5,3,2
1,20262100,"C",50000,1007,1e-06,2,2,0
2,20262200,"A",50000,988,1e-06,2,2,0
2,20262200,"B",50000,988,1e-06,3,3,0
2,20262200,"C",50000,988,1e-06,2,2,0
3,20262300,"A",50000,931,1e-06,3,3,0
3,20262300,"B",50000,931,1e-06,3,3,0
3,20262300,"C",50000,931,1e-06,4,3,1
4,20262400,"A",50000,923,1e-06,2,2,0
4,20262400,"B",50000,923,1e-06,2,2,0
4,20262400,"C",50000,923,1e-06,2,2,0
5,20262500,"A",50000,939,1e-06,2,2,0
5,20262500,"B",50000,939,1e-06,2,2,0
5,20262500,"C",50000,939,1e-06,2,2,0
6,20262600,"A",50000,998,1e-06,2,2,0
6,20262600,"B",50000,998,1e-06,2,2,0
6,20262600,"C",50000,998,1e-06,2,2,0
7,20262700,"A",50000,909,1e-06,2,2,0
7,20262700,"B",50000,909,1e-06,2,2,0
7,20262700,"C",50000,909,1e-06,2,2,0
8,20262800,"A",50000,958,1e-06,3,2,1
8,20262800,"B",50000,958,1e-06,2,2,0
8,20262800,"C",50000,958,1e-06,2,2,0
9,20262900,"A",50000,958,1e-06,3,3,0
9,20262900,"B",50000,958,1e-06,3,3,0
9,20262900,"C",50000,958,1e-06,2,2,0
10,20263000,"A",50000,935,1e-06,3,2,1
10,20263000,"B",50000,935,1e-06,2,2,0
10,20263000,"C",50000,935,1e-06,2,2,0
