"replicate","seed","analysis","estimates","unavailable","out_of_range","available_se","uncertainty"
1,20262100,"ldsc_h2",3,0,0,3,""
1,20262100,"ldsc_rg",3,0,0,3,""
1,20262100,"gnova_h2",3,0,0,3,""
1,20262100,"gnova_rg",3,0,0,3,""
1,20262100,"sumher_h2",6,0,0,6,""
1,20262100,"sumher_rg",6,0,0,6,""
1,20262100,"hess_cov",60,0,0,15,"HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
1,20262100,"supergnova_cov",60,0,0,60,""
1,20262100,"lava_cov",60,0,0,0,"LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
1,20262100,"ldsc_annotation_h2",9,0,0,9,""
1,20262100,"ldsc_annotation_rg",9,0,1,9,""
2,20262200,"ldsc_h2",3,0,0,3,""
2,20262200,"ldsc_rg",3,0,0,3,""
2,20262200,"gnova_h2",3,0,0,3,""
2,20262200,"gnova_rg",3,0,0,3,""
2,20262200,"sumher_h2",6,0,0,6,""
2,20262200,"sumher_rg",6,0,0,6,""
2,20262200,"hess_cov",60,0,0,22,"HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
2,20262200,"supergnova_cov",60,0,0,60,""
2,20262200,"lava_cov",60,0,0,0,"LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
2,20262200,"ldsc_annotation_h2",9,0,0,9,""
2,20262200,"ldsc_annotation_rg",9,0,0,9,""
3,20262300,"ldsc_h2",3,0,0,3,""
3,20262300,"ldsc_rg",3,0,0,3,""
3,20262300,"gnova_h2",3,0,0,3,""
3,20262300,"gnova_rg",3,0,0,3,""
3,20262300,"sumher_h2",6,0,0,6,""
3,20262300,"sumher_rg",6,0,0,6,""
3,20262300,"hess_cov",60,0,0,20,"HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
3,20262300,"supergnova_cov",60,0,0,60,""
3,20262300,"lava_cov",60,0,0,0,"LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
3,20262300,"ldsc_annotation_h2",9,0,0,9,""
3,20262300,"ldsc_annotation_rg",9,0,0,9,""
4,20262400,"ldsc_h2",3,0,0,3,""
4,20262400,"ldsc_rg",3,0,0,3,""
4,20262400,"gnova_h2",3,0,0,3,""
4,20262400,"gnova_rg",3,0,0,3,""
4,20262400,"sumher_h2",6,0,0,6,""
4,20262400,"sumher_rg",6,0,0,6,""
4,20262400,"hess_cov",60,0,0,19,"HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
4,20262400,"supergnova_cov",60,0,0,60,""
4,20262400,"lava_cov",60,0,0,0,"LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
4,20262400,"ldsc_annotation_h2",9,0,0,9,""
4,20262400,"ldsc_annotation_rg",9,0,0,9,""
5,20262500,"ldsc_h2",3,0,0,3,""
5,20262500,"ldsc_rg",3,0,0,3,""
5,20262500,"gnova_h2",3,0,0,3,""
5,20262500,"gnova_rg",3,0,0,3,""
5,20262500,"sumher_h2",6,0,0,6,""
5,20262500,"sumher_rg",6,0,0,6,""
5,20262500,"hess_cov",60,0,0,15,"HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
5,20262500,"supergnova_cov",60,0,0,60,""
5,20262500,"lava_cov",60,0,0,0,"LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
5,20262500,"ldsc_annotation_h2",9,0,0,9,""
5,20262500,"ldsc_annotation_rg",9,0,0,9,""
6,20262600,"ldsc_h2",3,0,0,3,""
6,20262600,"ldsc_rg",3,0,0,3,""
6,20262600,"gnova_h2",3,0,0,3,""
6,20262600,"gnova_rg",3,0,0,3,""
6,20262600,"sumher_h2",6,0,0,6,""
6,20262600,"sumher_rg",6,0,0,6,""
6,20262600,"hess_cov",60,0,0,19,"HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
6,20262600,"supergnova_cov",60,0,0,60,""
6,20262600,"lava_cov",60,0,0,0,"LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
6,20262600,"ldsc_annotation_h2",9,0,0,9,""
6,20262600,"ldsc_annotation_rg",9,0,0,9,""
7,20262700,"ldsc_h2",3,0,0,3,""
7,20262700,"ldsc_rg",3,0,0,3,""
7,20262700,"gnova_h2",3,0,0,3,""
7,20262700,"gnova_rg",3,0,0,3,""
7,20262700,"sumher_h2",6,0,0,6,""
7,20262700,"sumher_rg",6,0,0,6,""
7,20262700,"hess_cov",60,0,0,16,"HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
7,20262700,"supergnova_cov",60,0,0,60,""
7,20262700,"lava_cov",60,0,0,0,"LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
7,20262700,"ldsc_annotation_h2",9,0,0,9,""
7,20262700,"ldsc_annotation_rg",9,0,0,9,""
8,20262800,"ldsc_h2",3,0,0,3,""
8,20262800,"ldsc_rg",3,0,1,3,""
8,20262800,"gnova_h2",3,0,0,3,""
8,20262800,"gnova_rg",3,0,1,3,""
8,20262800,"sumher_h2",6,0,0,6,""
8,20262800,"sumher_rg",6,0,2,6,""
8,20262800,"hess_cov",60,0,0,15,"HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
8,20262800,"supergnova_cov",60,0,0,60,""
8,20262800,"lava_cov",60,0,0,0,"LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
8,20262800,"ldsc_annotation_h2",9,0,0,9,""
8,20262800,"ldsc_annotation_rg",9,0,2,7,"a delete-block genetic correlation is undefined"
9,20262900,"ldsc_h2",3,0,0,3,""
9,20262900,"ldsc_rg",3,0,0,3,""
9,20262900,"gnova_h2",3,0,0,3,""
9,20262900,"gnova_rg",3,0,0,3,""
9,20262900,"sumher_h2",6,0,0,6,""
9,20262900,"sumher_rg",6,0,0,6,""
9,20262900,"hess_cov",60,0,0,18,"HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
9,20262900,"supergnova_cov",60,0,0,60,""
9,20262900,"lava_cov",60,0,0,0,"LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
9,20262900,"ldsc_annotation_h2",9,0,0,9,""
9,20262900,"ldsc_annotation_rg",9,0,2,9,""
10,20263000,"ldsc_h2",3,0,0,3,""
10,20263000,"ldsc_rg",3,0,0,3,""
10,20263000,"gnova_h2",3,0,0,3,""
10,20263000,"gnova_rg",3,0,0,3,""
10,20263000,"sumher_h2",6,0,0,6,""
10,20263000,"sumher_rg",6,0,0,6,""
10,20263000,"hess_cov",60,0,0,19,"HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
10,20263000,"supergnova_cov",60,0,0,60,""
10,20263000,"lava_cov",60,0,0,0,"LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
10,20263000,"ldsc_annotation_h2",9,0,0,9,""
10,20263000,"ldsc_annotation_rg",9,0,0,9,""
