"replicate","seed","method","true_active","expected_active","effect_correlation","effect_rmse","mean_pip_causal","mean_pip_zero_effect","pip_above_half","causal_pip_above_half","max_chain_pip_range"
1,20262100,"bayesc",1007,998.287857142857,0.501365193161113,0.00217717502648659,0.0294896439211236,0.0197700035865182,7,5,0.0714285714285714
1,20262100,"bayesr",1007,993.30045,0.499793885907638,0.00213004181650683,0.0292681727904667,0.0196727573326802,9,6,0.0234
2,20262200,"bayesc",988,994.214285714286,0.513471800112794,0.00222139469956553,0.0273554077501446,0.0197336803814809,3,3,0.0771428571428572
2,20262200,"bayesr",988,988.5442,0.525567535906132,0.00215030051029093,0.02679504048583,0.0196292887456133,4,3,0.029
3,20262300,"bayesc",931,998.685357142857,0.505563785890151,0.00225204747215326,0.0287152831057235,0.019807850752439,5,3,0.0642857142857143
3,20262300,"bayesr",931,994.129,0.502376503963654,0.00220228851793943,0.0279053705692803,0.019730361327926,9,3,0.0266
4,20262400,"bayesc",923,996.958571428571,0.534725048620247,0.00213174616849104,0.0289823556724965,0.0197690946297218,3,2,0.0828571428571428
4,20262400,"bayesr",923,991.60675,0.541660959402636,0.00206518545429134,0.0285860780065005,0.019667498013326,6,4,0.0274
5,20262500,"bayesc",939,991.763214285714,0.5071527848567,0.00215394659635189,0.0279617374106192,0.0196797281518343,3,3,0.0728571428571429
5,20262500,"bayesr",939,986.8975,0.514795660034754,0.00209615023557476,0.0272148562300319,0.0195948462118587,5,3,0.0342
6,20262600,"bayesc",998,1000.97928571429,0.507597685638391,0.00219601643598047,0.0268898511308331,0.0198796623461433,4,3,0.104285714285714
6,20262600,"bayesr",998,994.37605,0.514816795909431,0.0021367689482222,0.0266098196392786,0.0197506111995429,6,3,0.0444
7,20262700,"bayesc",909,995.511071428571,0.53659909239021,0.00211272492460685,0.0292181360993242,0.0197378701944203,3,3,0.0628571428571428
7,20262700,"bayesr",909,991.7692,0.539962244899613,0.00205194050177423,0.0288674367436744,0.0196681407997393,6,3,0.0288
8,20262800,"bayesc",958,992.800714285714,0.493052899944161,0.00219671279833686,0.0293960632269609,0.0196696563295601,5,3,0.0642857142857143
8,20262800,"bayesr",958,989.5225,0.48502278294353,0.00216587830462646,0.0287635699373695,0.0196151665919008,11,5,0.0306
9,20262900,"bayesc",958,998.101428571429,0.509741382577134,0.00220651666519521,0.0294109752460483,0.0197774502321625,3,3,0.0714285714285714
9,20262900,"bayesr",958,993.65735,0.511146774591455,0.00215161376332636,0.0283722860125261,0.0197071224664573,7,3,0.0246
10,20263000,"bayesc",935,997.550357142857,0.490131246931316,0.00220527036826312,0.0293304048892284,0.0197722700208179,5,4,0.0857142857142857
10,20263000,"bayesr",935,993.1995,0.489895342813705,0.0021598838672946,0.0289763101604278,0.0196903424029349,9,5,0.0337999999999999
