"replicate","seed","max_ols_error","truth_score_error"
1,20262100,9.10382880192628e-15,3.99680288865056e-15
2,20262200,7.105427357601e-15,7.32747196252603e-15
3,20262300,8.88178419700125e-15,4.66293670342566e-15
4,20262400,9.49240686054509e-15,5.77315972805081e-15
5,20262500,8.04911692853238e-15,5.32907051820075e-15
6,20262600,7.82707232360735e-15,4.66293670342566e-15
7,20262700,8.49320613838245e-15,7.105427357601e-15
8,20262800,7.82707232360735e-15,4.10782519111308e-15
9,20262900,7.99360577730113e-15,4.68548810861336e-15
10,20263000,7.60502771868232e-15,3.33066907387547e-15
