"replicate","seed","region","truth","H0","H1","H2","H3","H4"
1,20262100,"region001","H4",2.55942533069727e-55,1.10684677050211e-34,2.31235740927014e-24,9.36573296395878e-27,1
1,20262100,"region002","H3",1.38047635889271e-64,1.19181820632979e-43,1.15829440392918e-21,1,2.57602562790532e-23
2,20262200,"region001","H4",3.74310797345233e-55,3.60342556446988e-35,1.03876378365068e-23,4.18228635211068e-26,1
2,20262200,"region002","H3",5.36142285251405e-55,1.13963916500869e-30,4.70449157692214e-25,1,5.85488166735808e-26
3,20262300,"region001","H4",9.71324862741568e-70,1.08008966455789e-46,8.99300210542402e-27,8.94503624357376e-28,1
3,20262300,"region002","H3",2.00215119821722e-54,1.11910878024705e-32,1.78905860945461e-22,1,4.81897485156473e-24
4,20262400,"region001","H4",4.1390722558115e-75,8.11841797171265e-52,5.09837294683945e-27,2.00113965508e-29,1
4,20262400,"region002","H3",3.31740757857145e-58,6.2286941589872e-25,5.32600813893697e-34,1,8.91186329096778e-26
5,20262500,"region001","H4",3.25930838318285e-76,5.6476112113204e-48,5.77112740453823e-32,1.52492957245319e-33,1
5,20262500,"region002","H3",1.10508930172779e-54,2.22428197794926e-32,4.96829679277736e-23,1,1.083660665677e-24
6,20262600,"region001","H4",4.16410790430172e-73,2.79904155186023e-42,1.48769063522271e-34,8.53688137429399e-37,1
6,20262600,"region002","H3",1.48470963244913e-56,4.53580816638937e-37,3.27330781634669e-20,1,2.7310148022339e-21
7,20262700,"region001","H4",3.68223831295735e-71,1.68119617735223e-43,2.19024903967878e-31,2.66880712739874e-33,1
7,20262700,"region002","H3",1.83187039600851e-69,7.14009517923544e-41,2.56561061165668e-29,1,4.71033657532389e-31
8,20262800,"region001","H4",9.45839534743783e-52,6.51145682922024e-32,1.45257744856622e-23,5.14310704134626e-26,1
8,20262800,"region002","H3",2.01911138213486e-61,5.83440085381738e-33,3.46070047760559e-29,1,6.38076921633904e-31
9,20262900,"region001","H4",2.09287437726815e-57,1.64011477770311e-37,1.27605360656474e-23,6.10590804551587e-26,1
9,20262900,"region002","H3",8.39450805335651e-52,3.0174367561792e-31,2.78199966781938e-21,1,1.15870295813201e-22
10,20263000,"region001","H4",7.54773242489618e-57,5.92304732991196e-36,1.27429885403406e-24,2.56116057479718e-26,1
10,20263000,"region002","H3",1.42274946218893e-59,2.0074569341111e-43,7.08732246263077e-17,1,5.14168275533722e-18
