"replicate","seed","region","trait","causal_marker","sets","total_members","causal_covered","all_complete","all_pass_ld","converged"
1,20262100,"region001","A","m00050",1,1,TRUE,TRUE,TRUE,TRUE
1,20262100,"region001","B","m00050",1,1,TRUE,TRUE,TRUE,TRUE
1,20262100,"region002","A","m00125",1,1,TRUE,TRUE,TRUE,TRUE
1,20262100,"region002","B","m00175",1,1,TRUE,TRUE,TRUE,TRUE
2,20262200,"region001","A","m00050",1,1,TRUE,TRUE,TRUE,TRUE
2,20262200,"region001","B","m00050",1,1,TRUE,TRUE,TRUE,TRUE
2,20262200,"region002","A","m00125",1,1,TRUE,TRUE,TRUE,TRUE
2,20262200,"region002","B","m00175",1,1,TRUE,TRUE,TRUE,TRUE
3,20262300,"region001","A","m00050",1,1,TRUE,TRUE,TRUE,TRUE
3,20262300,"region001","B","m00050",1,1,TRUE,TRUE,TRUE,TRUE
3,20262300,"region002","A","m00125",1,1,TRUE,TRUE,TRUE,TRUE
3,20262300,"region002","B","m00175",1,1,TRUE,TRUE,TRUE,TRUE
4,20262400,"region001","A","m00050",1,1,TRUE,TRUE,TRUE,TRUE
4,20262400,"region001","B","m00050",1,1,TRUE,TRUE,TRUE,TRUE
4,20262400,"region002","A","m00125",1,1,TRUE,TRUE,TRUE,TRUE
4,20262400,"region002","B","m00175",1,1,TRUE,TRUE,TRUE,TRUE
5,20262500,"region001","A","m00050",1,1,TRUE,TRUE,TRUE,TRUE
5,20262500,"region001","B","m00050",1,1,TRUE,TRUE,TRUE,TRUE
5,20262500,"region002","A","m00125",1,1,TRUE,TRUE,TRUE,TRUE
5,20262500,"region002","B","m00175",1,1,TRUE,TRUE,TRUE,TRUE
6,20262600,"region001","A","m00050",1,1,TRUE,TRUE,TRUE,TRUE
6,20262600,"region001","B","m00050",1,1,TRUE,TRUE,TRUE,TRUE
6,20262600,"region002","A","m00125",1,1,TRUE,TRUE,TRUE,TRUE
6,20262600,"region002","B","m00175",1,1,TRUE,TRUE,TRUE,TRUE
7,20262700,"region001","A","m00050",1,1,TRUE,TRUE,TRUE,TRUE
7,20262700,"region001","B","m00050",1,1,TRUE,TRUE,TRUE,TRUE
7,20262700,"region002","A","m00125",1,1,TRUE,TRUE,TRUE,TRUE
7,20262700,"region002","B","m00175",1,1,TRUE,TRUE,TRUE,TRUE
8,20262800,"region001","A","m00050",1,1,TRUE,TRUE,TRUE,TRUE
8,20262800,"region001","B","m00050",1,1,TRUE,TRUE,TRUE,TRUE
8,20262800,"region002","A","m00125",1,1,TRUE,TRUE,TRUE,TRUE
8,20262800,"region002","B","m00175",1,1,TRUE,TRUE,TRUE,TRUE
9,20262900,"region001","A","m00050",1,1,TRUE,TRUE,TRUE,TRUE
9,20262900,"region001","B","m00050",1,1,TRUE,TRUE,TRUE,TRUE
9,20262900,"region002","A","m00125",1,1,TRUE,TRUE,TRUE,TRUE
9,20262900,"region002","B","m00175",1,1,TRUE,TRUE,TRUE,TRUE
10,20263000,"region001","A","m00050",1,1,TRUE,TRUE,TRUE,TRUE
10,20263000,"region001","B","m00050",1,1,TRUE,TRUE,TRUE,TRUE
10,20263000,"region002","A","m00125",1,1,TRUE,TRUE,TRUE,TRUE
10,20263000,"region002","B","m00175",1,1,TRUE,TRUE,TRUE,TRUE
