"replicate","seed","analysis","scope","component","region","quantity","trait1","trait2","estimate","truth","lower","upper","interval_kind","uncertainty_reason"
1,20262100,"ldsc_h2","reference","all",NA,"h2","A",NA,0.280350764019712,0.303963790428954,0.113207914254674,0.44749361378475,"normal_approximation:block_jackknife",""
1,20262100,"ldsc_h2","reference","all",NA,"h2","B",NA,0.37634827602862,0.402838601029903,0.188805548400455,0.563891003656786,"normal_approximation:block_jackknife",""
1,20262100,"ldsc_h2","reference","all",NA,"h2","C",NA,0.324196980995461,0.349342700568826,0.126880165192961,0.521513796797962,"normal_approximation:block_jackknife",""
1,20262100,"ldsc_rg","reference","all",NA,"rg","A","B",0.739887335014155,0.551562936457882,0.299713931184275,1.18006073884403,"normal_approximation:block_jackknife",""
1,20262100,"ldsc_rg","reference","all",NA,"rg","A","C",0.394626780058396,0.569370866679062,-0.0267276253495795,0.815981185466371,"normal_approximation:block_jackknife",""
1,20262100,"ldsc_rg","reference","all",NA,"rg","B","C",0.674582922408312,0.729509414554371,0.303590283306478,1.04557556151015,"normal_approximation:block_jackknife",""
1,20262100,"gnova_h2","reference","all",NA,"h2","A",NA,0.272774544205653,0.303963790428954,0.107697869832916,0.437851218578391,"normal_approximation:block_jackknife",""
1,20262100,"gnova_h2","reference","all",NA,"h2","B",NA,0.364576116810342,0.402838601029903,0.18265484209602,0.546497391524663,"normal_approximation:block_jackknife",""
1,20262100,"gnova_h2","reference","all",NA,"h2","C",NA,0.316596394593819,0.349342700568826,0.124932165864968,0.508260623322671,"normal_approximation:block_jackknife",""
1,20262100,"gnova_rg","reference","all",NA,"rg","A","B",0.752407049055186,0.551562936457882,0.299397981436827,1.20541611667355,"normal_approximation:block_jackknife",""
1,20262100,"gnova_rg","reference","all",NA,"rg","A","C",0.39598405030828,0.569370866679062,-0.0324872416490082,0.824455342265568,"normal_approximation:block_jackknife",""
1,20262100,"gnova_rg","reference","all",NA,"rg","B","C",0.675485214613239,0.729509414554371,0.296435065324621,1.05453536390186,"normal_approximation:block_jackknife",""
1,20262100,"sumher_h2","reference","all",NA,"h2","A",NA,0.28035089441809,0.303963790428954,0.113208027305012,0.447493761531168,"normal_approximation:fixed_weight_block_jackknife",""
1,20262100,"sumher_h2","reference","all",NA,"h2","B",NA,0.376348591905176,0.402838601029903,0.188805749385622,0.563891434424729,"normal_approximation:fixed_weight_block_jackknife",""
