"replicate","seed","method","trait","pathway","p_value","pip"
1,20262100,"ora","A","enriched",0.167719303472486,NA
1,20262100,"ora","A","background",0.516584183254103,NA
1,20262100,"ora","A","mixed",0.476391724961985,NA
1,20262100,"ora","B","enriched",0.000356845087888685,NA
1,20262100,"ora","B","background",0.960156180341012,NA
1,20262100,"ora","B","mixed",0.886229545318913,NA
1,20262100,"ora","C","enriched",0.119525387968998,NA
1,20262100,"ora","C","background",0.599692724472394,NA
1,20262100,"ora","C","mixed",0.922500100868761,NA
1,20262100,"preranked","A","enriched",0.00317796610169492,NA
1,20262100,"preranked","A","background",0.490683229813665,NA
1,20262100,"preranked","A","mixed",0.567287784679089,NA
1,20262100,"preranked","B","enriched",0.00105708245243129,NA
1,20262100,"preranked","B","background",0.85005170630817,NA
1,20262100,"preranked","B","mixed",0.894300518134715,NA
1,20262100,"preranked","C","enriched",0.0248380129589633,NA
1,20262100,"preranked","C","background",0.898109243697479,NA
1,20262100,"preranked","C","mixed",0.926470588235294,NA
1,20262100,"competitive","A","enriched",0.00224095349299805,NA
1,20262100,"competitive","A","background",0.20913569294072,NA
1,20262100,"competitive","A","mixed",0.444876591539843,NA
1,20262100,"competitive","B","enriched",1.7746633954649e-06,NA
1,20262100,"competitive","B","background",0.278490580903016,NA
1,20262100,"competitive","B","mixed",0.762148010181812,NA
1,20262100,"competitive","C","enriched",0.00140106642579911,NA
1,20262100,"competitive","C","background",0.652645640822997,NA
1,20262100,"competitive","C","mixed",0.818769897570359,NA
1,20262100,"magma","A","enriched",0.0798069892092046,NA
1,20262100,"magma","A","background",0.369553252385094,NA
1,20262100,"magma","A","mixed",0.420540010657637,NA
1,20262100,"magma","B","enriched",0.00573572045196682,NA
1,20262100,"magma","B","background",0.459973415192748,NA
1,20262100,"magma","B","mixed",0.596810125497347,NA
1,20262100,"magma","C","enriched",0.0574031614670476,NA
1,20262100,"magma","C","background",0.884583227254386,NA
1,20262100,"magma","C","mixed",0.80187382852481,NA
1,20262100,"bayesc","A","enriched",NA,0.5835
1,20262100,"bayesc","A","background",NA,0.043
1,20262100,"bayesc","A","mixed",NA,0.0305
2,20262200,"ora","A","enriched",0.00264506398064675,NA
2,20262200,"ora","A","background",0.703841208003932,NA
2,20262200,"ora","A","mixed",0.501484824702405,NA
2,20262200,"ora","B","enriched",0.0142056685645016,NA
2,20262200,"ora","B","background",0.999131635142312,NA
2,20262200,"ora","B","mixed",0.864898428874776,NA
2,20262200,"ora","C","enriched",0.0530186505601711,NA
2,20262200,"ora","C","background",0.621960665092332,NA
2,20262200,"ora","C","mixed",0.170667221038913,NA
2,20262200,"preranked","A","enriched",0.00108342361863489,NA
2,20262200,"preranked","A","background",0.531151003167899,NA
2,20262200,"preranked","A","mixed",0.892631578947368,NA
2,20262200,"preranked","B","enriched",0.00109289617486339,NA
2,20262200,"preranked","B","background",0.805732484076433,NA
2,20262200,"preranked","B","mixed",0.947033898305085,NA
2,20262200,"preranked","C","enriched",0.00211864406779661,NA
2,20262200,"preranked","C","background",0.847034339229969,NA
2,20262200,"preranked","C","mixed",0.654848800834202,NA
2,20262200,"competitive","A","enriched",1.54599991685548e-06,NA
2,20262200,"competitive","A","background",0.321462532388101,NA
2,20262200,"competitive","A","mixed",0.750377350125755,NA
2,20262200,"competitive","B","enriched",3.80960441730061e-08,NA
2,20262200,"competitive","B","background",0.425832632504373,NA
2,20262200,"competitive","B","mixed",0.796716190425064,NA
2,20262200,"competitive","C","enriched",0.000317667365228662,NA
2,20262200,"competitive","C","background",0.57186349609651,NA
2,20262200,"competitive","C","mixed",0.88085726269534,NA
2,20262200,"magma","A","enriched",0.000386868373011102,NA
2,20262200,"magma","A","background",0.674955589120883,NA
2,20262200,"magma","A","mixed",0.707387385197283,NA
2,20262200,"magma","B","enriched",0.000225282705045252,NA
2,20262200,"magma","B","background",0.818901902867851,NA
2,20262200,"magma","B","mixed",0.715956676439424,NA
2,20262200,"magma","C","enriched",0.0666592951520421,NA
2,20262200,"magma","C","background",0.735644592154232,NA
2,20262200,"magma","C","mixed",0.923746535613376,NA
2,20262200,"bayesc","A","enriched",NA,0.999
2,20262200,"bayesc","A","background",NA,0.0355
2,20262200,"bayesc","A","mixed",NA,0.0365
3,20262300,"ora","A","enriched",0.231291005169254,NA
3,20262300,"ora","A","background",0.340737841202107,NA
3,20262300,"ora","A","mixed",0.930954056186713,NA
3,20262300,"ora","B","enriched",0.105362347434576,NA
3,20262300,"ora","B","background",0.855431526298938,NA
3,20262300,"ora","B","mixed",0.621879234025625,NA
3,20262300,"ora","C","enriched",0.00962312262329187,NA
3,20262300,"ora","C","background",0.709351051344701,NA
3,20262300,"ora","C","mixed",0.923035271647998,NA
3,20262300,"preranked","A","enriched",0.00106837606837607,NA
3,20262300,"preranked","A","background",0.517241379310345,NA
3,20262300,"preranked","A","mixed",0.845588235294118,NA
3,20262300,"preranked","B","enriched",0.00108695652173913,NA
3,20262300,"preranked","B","background",0.986315789473684,NA
3,20262300,"preranked","B","mixed",0.225026288117771,NA
3,20262300,"preranked","C","enriched",0.00104931794333683,NA
3,20262300,"preranked","C","background",0.886714727085479,NA
3,20262300,"preranked","C","mixed",0.989690721649485,NA
3,20262300,"competitive","A","enriched",0.000170596450194151,NA
3,20262300,"competitive","A","background",0.449221095388596,NA
3,20262300,"competitive","A","mixed",0.759863455790558,NA
3,20262300,"competitive","B","enriched",0.000182932143017263,NA
3,20262300,"competitive","B","background",0.59610331488428,NA
3,20262300,"competitive","B","mixed",0.169610576227553,NA
3,20262300,"competitive","C","enriched",2.27743249314889e-05,NA
3,20262300,"competitive","C","background",0.477768951447429,NA
3,20262300,"competitive","C","mixed",0.953468296537202,NA
3,20262300,"magma","A","enriched",0.0124725794512537,NA
3,20262300,"magma","A","background",0.729427130250823,NA
3,20262300,"magma","A","mixed",0.682394903131037,NA
3,20262300,"magma","B","enriched",0.0212203284934381,NA
3,20262300,"magma","B","background",0.827178954367282,NA
3,20262300,"magma","B","mixed",0.0650985599907278,NA
3,20262300,"magma","C","enriched",0.00145843064344483,NA
3,20262300,"magma","C","background",0.673546253336731,NA
3,20262300,"magma","C","mixed",0.937517935604184,NA
3,20262300,"bayesc","A","enriched",NA,0.9485
3,20262300,"bayesc","A","background",NA,0.034
3,20262300,"bayesc","A","mixed",NA,0.0305
4,20262400,"ora","A","enriched",0.0469820519495845,NA
4,20262400,"ora","A","background",0.993989919355399,NA
4,20262400,"ora","A","mixed",0.930954056186713,NA
4,20262400,"ora","B","enriched",0.0021449991719366,NA
4,20262400,"ora","B","background",0.998713126882411,NA
4,20262400,"ora","B","mixed",0.240899922347724,NA
4,20262400,"ora","C","enriched",0.00043802627612122,NA
4,20262400,"ora","C","background",0.995668673274499,NA
4,20262400,"ora","C","mixed",0.400250912976018,NA
4,20262400,"preranked","A","enriched",0.00105042016806723,NA
4,20262400,"preranked","A","background",0.925773195876289,NA
4,20262400,"preranked","A","mixed",0.830246913580247,NA
4,20262400,"preranked","B","enriched",0.00217627856365615,NA
4,20262400,"preranked","B","background",0.518518518518518,NA
4,20262400,"preranked","B","mixed",0.253968253968254,NA
4,20262400,"preranked","C","enriched",0.00111731843575419,NA
4,20262400,"preranked","C","background",0.12,NA
4,20262400,"preranked","C","mixed",0.320815450643777,NA
4,20262400,"competitive","A","enriched",1.73627286586348e-05,NA
4,20262400,"competitive","A","background",0.530727463872068,NA
4,20262400,"competitive","A","mixed",0.848329408747594,NA
4,20262400,"competitive","B","enriched",4.38808892787258e-05,NA
