"replicate","seed","parameter","estimated","status","draws","mean","sd","median","lower","upper","hpd_lower","hpd_upper","diagnostic_status","rhat","ess_bulk","mcse_mean","method","truth"
1,20262100,"residual_variance",FALSE,"available",2800,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesc",NA
1,20262100,"effect_variance",FALSE,"available",2800,3e-04,0,3e-04,3e-04,3e-04,3e-04,3e-04,"not_updated",NA,NA,NA,"bayesc",NA
1,20262100,"active_markers",TRUE,"available",2800,998.287857142857,31.1041651794784,997,937,1059,939,1060,"available",0.999958457790462,2448.55898775256,0.630244962677367,"bayesc",1007
1,20262100,"weight_0",FALSE,"available",2800,0.98,0,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesc",NA
1,20262100,"weight_1",FALSE,"available",2800,0.02,0,0.02,0.02,0.02,0.02,0.02,"not_updated",NA,NA,NA,"bayesc",NA
1,20262100,"genetic_covariance[A,A]",TRUE,"available",2800,0.313493827548513,0.0156774088537014,0.313361371430648,0.28424548165132,0.344394012797304,0.28415650544702,0.344023729062909,"available",0.999978928040539,2946.43439890823,0.000288686772526602,"bayesc",NA
1,20262100,"h2[A]",TRUE,"available",2800,0.313493827548513,0.0156774088537014,0.313361371430648,0.28424548165132,0.344394012797304,0.28415650544702,0.344023729062909,"available",0.999978928040539,2946.43439890823,0.000288686772526602,"bayesc",0.303963790428954
1,20262100,"residual_variance",FALSE,"available",20000,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesr",NA
1,20262100,"effect_variance",FALSE,"available",20000,0.000810810810810811,2.19704663379328e-19,0.000810810810810811,0.000810810810810811,0.000810810810810811,0.000810810810810811,0.000810810810810811,"not_updated",NA,NA,NA,"bayesr",NA
1,20262100,"active_markers",TRUE,"available",20000,993.30045,30.9751650978674,993,933,1055,931,1052,"available",0.999979321627514,20045.5381344427,0.218795569948011,"bayesr",1007
1,20262100,"weight_0",FALSE,"available",20000,0.98,2.58480260007822e-16,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesr",NA
1,20262100,"weight_1",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
1,20262100,"weight_2",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
1,20262100,"weight_3",FALSE,"available",20000,0.00666666666666667,7.63195765608769e-19,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,0.00666666666666667,"not_updated",NA,NA,NA,"bayesr",NA
1,20262100,"genetic_covariance[A,A]",TRUE,"available",20000,0.306985303311493,0.0215138448227605,0.306677850978002,0.265251224475558,0.350277448655825,0.263116378278474,0.347813762705451,"available",1.00004031244999,19859.8551510515,0.000152656500337508,"bayesr",NA
1,20262100,"h2[A]",TRUE,"available",20000,0.306985303311493,0.0215138448227605,0.306677850978002,0.265251224475558,0.350277448655825,0.263116378278474,0.347813762705451,"available",1.00004031244999,19859.8551510515,0.000152656500337508,"bayesr",0.303963790428954
2,20262200,"residual_variance",FALSE,"available",2800,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesc",NA
2,20262200,"effect_variance",FALSE,"available",2800,3e-04,0,3e-04,3e-04,3e-04,3e-04,3e-04,"not_updated",NA,NA,NA,"bayesc",NA
2,20262200,"active_markers",TRUE,"available",2800,994.214285714286,31.0259916425431,994,935,1056,931,1052,"available",1.00070142624703,2476.54485791446,0.624712910779984,"bayesc",988
