"replicate","seed","trait","requested","controlled_available","approximate_available","fallback"
1,20262100,"A",1000,999,1000,0
1,20262100,"B",1000,998,1000,0
1,20262100,"C",1000,998,1000,0
2,20262200,"A",1000,999,1000,1
2,20262200,"B",1000,998,1000,1
2,20262200,"C",1000,998,1000,2
3,20262300,"A",1000,998,1000,1
3,20262300,"B",1000,998,1000,0
3,20262300,"C",1000,998,1000,0
4,20262400,"A",1000,998,1000,0
4,20262400,"B",1000,998,1000,1
4,20262400,"C",1000,998,1000,1
5,20262500,"A",1000,998,1000,0
5,20262500,"B",1000,998,1000,0
5,20262500,"C",1000,998,1000,0
6,20262600,"A",1000,998,1000,1
6,20262600,"B",1000,998,1000,0
6,20262600,"C",1000,998,1000,0
7,20262700,"A",1000,998,1000,0
7,20262700,"B",1000,998,1000,0
7,20262700,"C",1000,998,1000,0
8,20262800,"A",1000,998,1000,1
8,20262800,"B",1000,998,1000,0
8,20262800,"C",1000,998,1000,1
9,20262900,"A",1000,999,1000,0
9,20262900,"B",1000,998,1000,0
9,20262900,"C",1000,999,1000,1
10,20263000,"A",1000,998,1000,0
10,20263000,"B",1000,998,1000,0
10,20263000,"C",1000,999,1000,1
