"analysis","estimates","unavailable","out_of_range","available_se","uncertainty"
"ldsc_h2",3,0,0,3,""
"ldsc_rg",3,0,1,3,""
"gnova_h2",3,0,0,3,""
"gnova_rg",3,0,1,3,""
"sumher_h2",6,0,0,6,""
"sumher_rg",6,0,2,6,""
"hess_cov",60,0,0,20,"HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"supergnova_cov",60,0,0,60,""
"lava_cov",60,0,0,0,"LAVA estimator uncertainty is not implemented; see separate trait-specific univariate test"
"ldsc_annotation_h2",9,0,0,9,""
"ldsc_annotation_rg",9,0,4,7,"a delete-block genetic correlation is undefined"
