"parameter","estimated","status","draws","mean","sd","median","lower","upper","hpd_lower","hpd_upper","diagnostic_status","rhat","ess_bulk","mcse_mean","method","truth"
"residual_variance",FALSE,"available",2000,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesc",NA
"effect_variance",FALSE,"available",2000,3e-04,0,3e-04,3e-04,3e-04,3e-04,3e-04,"not_updated",NA,NA,NA,"bayesc",NA
"active_markers",TRUE,"available",2000,992.767,30.7588322906111,992,933,1056,930,1050,"available",1.0004371148728,1940.5155470101,0.701687918025011,"bayesc",984
"weight_0",FALSE,"available",2000,0.98,0,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesc",NA
"weight_1",FALSE,"available",2000,0.02,0,0.02,0.02,0.02,0.02,0.02,"not_updated",NA,NA,NA,"bayesc",NA
"genetic_covariance[A,A]",TRUE,"available",2000,0.310832787820649,0.0159400017412584,0.310131785617184,0.280299945191193,0.342347029535501,0.279871292280109,0.341664204849546,"available",1.00030666753211,2027.7289178341,0.000354547798044862,"bayesc",NA
"h2[A]",TRUE,"available",2000,0.310832787820649,0.0159400017412584,0.310131785617184,0.280299945191193,0.342347029535501,0.279871292280109,0.341664204849546,"available",1.00030666753211,2027.7289178341,0.000354547798044862,"bayesc",0.295802449290938
"residual_variance",FALSE,"available",2000,1,0,1,1,1,1,1,"not_updated",NA,NA,NA,"bayesr",NA
"effect_variance",FALSE,"available",2000,0.00077319587628866,0,0.00077319587628866,0.00077319587628866,0.00077319587628866,0.00077319587628866,0.00077319587628866,"not_updated",NA,NA,NA,"bayesr",NA
"active_markers",TRUE,"available",2000,988.319,30.4308931618728,988,928,1049,926,1046,"available",1.00000665067122,1962.50514941989,0.68856780452148,"bayesr",984
"weight_0",FALSE,"available",2000,0.98,0,0.98,0.98,0.98,0.98,0.98,"not_updated",NA,NA,NA,"bayesr",NA
"weight_1",FALSE,"available",2000,0.006,0,0.006,0.006,0.006,0.006,0.006,"not_updated",NA,NA,NA,"bayesr",NA
"weight_2",FALSE,"available",2000,0.007,0,0.007,0.007,0.007,0.007,0.007,"not_updated",NA,NA,NA,"bayesr",NA
"weight_3",FALSE,"available",2000,0.007,0,0.007,0.007,0.007,0.007,0.007,"not_updated",NA,NA,NA,"bayesr",NA
"genetic_covariance[A,A]",TRUE,"available",2000,0.306771439629312,0.020973108224639,0.306574810773234,0.265913961911795,0.34847967843889,0.263772510320087,0.345432601196803,"available",0.999783078885856,1907.94897506714,0.00047955835905811,"bayesr",NA
"h2[A]",TRUE,"available",2000,0.306771439629312,0.020973108224639,0.306574810773234,0.265913961911795,0.34847967843889,0.263772510320087,0.345432601196803,"available",0.999783078885856,1907.94897506714,0.00047955835905811,"bayesr",0.295802449290938
