"analysis","component","quantity","estimate","se","z","p","undefined_reason","uncertainty_reason","lower","upper","interval_level","p_mc_se","method","reference","region","scope","trait1","trait2","diagnostic_id","native_quantity","name","scale","se_method","p_method","interval_method","se_available","p_available","interval_available","estimate_status","out_of_range","row_id"
"ldsc_h2","all","h2",0.16433356856402,0.0862815130366508,1.90462084843382,0.0568293745174602,"","",NA,NA,NA,NA,"ldsc","simulated-training-pool",NA,"reference","A",NA,"fit_1","h2","all","native","block_jackknife","block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,1
"ldsc_h2","all","h2",0.284597054766706,0.0897432248263093,3.17123721949507,0.00151791132419464,"","",NA,NA,NA,NA,"ldsc","simulated-training-pool",NA,"reference","B",NA,"fit_2","h2","all","native","block_jackknife","block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,3
"ldsc_h2","all","h2",0.196657957881382,0.0885448729577915,2.22099768526549,0.0263511181718093,"","",NA,NA,NA,NA,"ldsc","simulated-training-pool",NA,"reference","C",NA,"fit_3","h2","all","native","block_jackknife","block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,5
"ldsc_rg","all","rg",0.591041164206129,0.322633260297448,1.83192880876952,0.0669620277943931,"","",NA,NA,NA,NA,"ldsc","simulated-training-pool",NA,"reference","A","B","fit_1","rg","all","dimensionless","block_jackknife","block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,2
"ldsc_rg","all","rg",0.636570289989258,0.391854389304131,1.6245072337194,0.104267597807562,"","",NA,NA,NA,NA,"ldsc","simulated-training-pool",NA,"reference","A","C","fit_2","rg","all","dimensionless","block_jackknife","block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,7
"ldsc_rg","all","rg",1.09482156046766,0.33111714633496,3.30644780128701,0.000944869531784619,"","",NA,NA,NA,NA,"ldsc","simulated-training-pool",NA,"reference","B","C","fit_3","rg","all","dimensionless","block_jackknife","block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",TRUE,12
"gnova_h2","all","h2",0.160016268054628,0.0855519565906881,1.87039869608365,0.0614284729157217,"","",NA,NA,NA,NA,"gnova","simulated-training-pool",NA,"reference","A",NA,"fit_1","h2","all","native","block_jackknife","block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,1
"gnova_h2","all","h2",0.279224064739718,0.0882694950891295,3.16331326533332,0.0015598438445608,"","",NA,NA,NA,NA,"gnova","simulated-training-pool",NA,"reference","B",NA,"fit_2","h2","all","native","block_jackknife","block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,4
"gnova_h2","all","h2",0.194966213551067,0.0877951499225932,2.22069457963184,0.0263716548252239,"","",NA,NA,NA,NA,"gnova","simulated-training-pool",NA,"reference","C",NA,"fit_3","h2","all","native","block_jackknife","block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,7
"gnova_rg","all","rg",0.592927805763628,0.329242270356457,1.80088603180172,0.0717208450468524,"","",NA,NA,NA,NA,"gnova","simulated-training-pool",NA,"reference","A","B","fit_1","rg","all","dimensionless","block_jackknife","block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,5
"gnova_rg","all","rg",0.63450338797089,0.398712242357372,1.59138175497048,0.111523687828636,"","",NA,NA,NA,NA,"gnova","simulated-training-pool",NA,"reference","A","C","fit_1","rg","all","dimensionless","block_jackknife","block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,7
"gnova_rg","all","rg",1.09416884884232,0.33460595820261,3.27002201251833,0.00107539115619127,"","",NA,NA,NA,NA,"gnova","simulated-training-pool",NA,"reference","B","C","fit_1","rg","all","dimensionless","block_jackknife","block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",TRUE,9
"sumher_h2","baseline","h2",0.16433364302832,0.0862815189830662,1.90462158020854,0.0568292793259878,"","",NA,NA,NA,NA,"sumher","simulated-training-pool",NA,"architecture_component","A",NA,"fit_1","h2","baseline","native","fixed_weight_block_jackknife","fixed_weight_block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,1
"sumher_h2","all","h2",0.16433364302832,0.0862815189830662,1.90462158020854,0.0568292793259878,"","",NA,NA,NA,NA,"sumher","simulated-training-pool",NA,"reference","A",NA,"fit_1","h2","all","native","fixed_weight_block_jackknife","fixed_weight_block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,2
"sumher_h2","baseline","h2",0.284597089516925,0.0897432322471598,3.17123734448435,0.0015179106710367,"","",NA,NA,NA,NA,"sumher","simulated-training-pool",NA,"architecture_component","B",NA,"fit_2","h2","baseline","native","fixed_weight_block_jackknife","fixed_weight_block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,3
"sumher_h2","all","h2",0.284597089516925,0.0897432322471598,3.17123734448435,0.0015179106710367,"","",NA,NA,NA,NA,"sumher","simulated-training-pool",NA,"reference","B",NA,"fit_2","h2","all","native","fixed_weight_block_jackknife","fixed_weight_block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,4
"sumher_h2","baseline","h2",0.196657959022229,0.0885448733985768,2.22099768709354,0.0263511180479932,"","",NA,NA,NA,NA,"sumher","simulated-training-pool",NA,"architecture_component","C",NA,"fit_3","h2","baseline","native","fixed_weight_block_jackknife","fixed_weight_block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,5
"sumher_h2","all","h2",0.196657959022229,0.0885448733985768,2.22099768709354,0.0263511180479932,"","",NA,NA,NA,NA,"sumher","simulated-training-pool",NA,"reference","C",NA,"fit_3","h2","all","native","fixed_weight_block_jackknife","fixed_weight_block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,6
"sumher_rg","baseline","rg",0.591040996940199,0.322633142249374,1.83192896061299,0.0669620051689032,"","",NA,NA,NA,NA,"sumher","simulated-training-pool",NA,"architecture_component","A","B","fit_1","rg","baseline","dimensionless","fixed_weight_block_jackknife","fixed_weight_block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,8
"sumher_rg","all","rg",0.591040996940199,0.322633142249374,1.83192896061299,0.0669620051689032,"","",NA,NA,NA,NA,"sumher","simulated-training-pool",NA,"reference","A","B","fit_1","rg","all","dimensionless","fixed_weight_block_jackknife","fixed_weight_block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,10
"sumher_rg","baseline","rg",0.636570146603886,0.391854274584377,1.62450734339716,0.10426757441909,"","",NA,NA,NA,NA,"sumher","simulated-training-pool",NA,"architecture_component","A","C","fit_1","rg","baseline","dimensionless","fixed_weight_block_jackknife","fixed_weight_block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,13
"sumher_rg","all","rg",0.636570146603886,0.391854274584377,1.62450734339716,0.10426757441909,"","",NA,NA,NA,NA,"sumher","simulated-training-pool",NA,"reference","A","C","fit_1","rg","all","dimensionless","fixed_weight_block_jackknife","fixed_weight_block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,15
"sumher_rg","baseline","rg",1.09482149158415,0.331117119760903,3.30644785861482,0.000944869338444465,"","",NA,NA,NA,NA,"sumher","simulated-training-pool",NA,"architecture_component","B","C","fit_1","rg","baseline","dimensionless","fixed_weight_block_jackknife","fixed_weight_block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",TRUE,18
"sumher_rg","all","rg",1.09482149158415,0.331117119760903,3.30644785861482,0.000944869338444465,"","",NA,NA,NA,NA,"sumher","simulated-training-pool",NA,"reference","B","C","fit_1","rg","all","dimensionless","fixed_weight_block_jackknife","fixed_weight_block_jackknife_normal","not_requested",TRUE,TRUE,FALSE,"available",TRUE,20
"hess_cov","region","cov",0.0612308789770735,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region001","region","A","B","fit_1","cov","region001","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,3
"hess_cov","region","cov",0.00105864751492005,0.00637585013634441,0.166040213035343,0.868125303958414,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region002","region","A","B","fit_2","cov","region002","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,7
"hess_cov","region","cov",-0.00066620956899883,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region003","region","A","B","fit_3","cov","region003","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,11
"hess_cov","region","cov",-3.75618288032907e-06,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region004","region","A","B","fit_4","cov","region004","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,15
"hess_cov","region","cov",-0.00722463344752028,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region005","region","A","B","fit_5","cov","region005","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,19
"hess_cov","region","cov",0.00222271717347428,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region006","region","A","B","fit_6","cov","region006","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,23
"hess_cov","region","cov",0.00105023279299268,0.00392952821447514,0.267266892021274,0.789263676166593,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region007","region","A","B","fit_7","cov","region007","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,27
"hess_cov","region","cov",0.00590608315177336,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region008","region","A","B","fit_8","cov","region008","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,31
"hess_cov","region","cov",-0.00638012882111003,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region009","region","A","B","fit_9","cov","region009","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,35
"hess_cov","region","cov",-0.0036762455027834,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region010","region","A","B","fit_10","cov","region010","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,39
"hess_cov","region","cov",-7.38671510052004e-06,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region011","region","A","B","fit_11","cov","region011","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,43
"hess_cov","region","cov",-0.00089862592156051,0.00367884475353526,-0.244268508666194,0.807022871290456,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region012","region","A","B","fit_12","cov","region012","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,47
"hess_cov","region","cov",-0.00158211287658185,0.00373714641778583,-0.423347843438046,0.672041492402661,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region013","region","A","B","fit_13","cov","region013","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,51
"hess_cov","region","cov",5.23689463035443e-05,0.00413924103313373,0.0126518233377429,0.98990557479367,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region014","region","A","B","fit_14","cov","region014","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,55
"hess_cov","region","cov",-0.00115900892521644,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region015","region","A","B","fit_15","cov","region015","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,59
"hess_cov","region","cov",0.000756513962906474,0.00384723249660582,0.196638483266582,0.8441104532252,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region016","region","A","B","fit_16","cov","region016","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,63
"hess_cov","region","cov",-0.00416787505141097,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region017","region","A","B","fit_17","cov","region017","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,67
"hess_cov","region","cov",0.00131854799743003,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region018","region","A","B","fit_18","cov","region018","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,71
"hess_cov","region","cov",0.000684030890251329,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region019","region","A","B","fit_19","cov","region019","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,75
"hess_cov","region","cov",0.00363522853848214,0.00385164628763287,0.943811624175975,0.345265919416302,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region020","region","A","B","fit_20","cov","region020","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,79
"hess_cov","region","cov",0.0413774100182813,0.00613456026159731,6.74496756960824,1.53061208103005e-11,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region001","region","A","C","fit_21","cov","region001","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,83
"hess_cov","region","cov",-0.00365435026733763,0.00641714514939863,-0.569466668161634,0.569039484650906,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region002","region","A","C","fit_22","cov","region002","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,87
"hess_cov","region","cov",0.00712128601408649,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region003","region","A","C","fit_23","cov","region003","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,91
"hess_cov","region","cov",-0.00200001959861418,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region004","region","A","C","fit_24","cov","region004","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,95
"hess_cov","region","cov",-0.00312005306671482,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region005","region","A","C","fit_25","cov","region005","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,99
"hess_cov","region","cov",-0.000467545557696824,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region006","region","A","C","fit_26","cov","region006","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,103
"hess_cov","region","cov",0.00996228642452463,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region007","region","A","C","fit_27","cov","region007","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,107
"hess_cov","region","cov",0.00282683174932461,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region008","region","A","C","fit_28","cov","region008","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,111
"hess_cov","region","cov",0.000274759910517778,NA,NA,NA,"","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices",NA,NA,NA,NA,"hess","simulated-training-pool","region009","region","A","C","fit_29","cov","region009","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",FALSE,FALSE,FALSE,"available",FALSE,115
"hess_cov","region","cov",0.00161885476035043,0.00401180855087555,0.403522436283038,0.686563932805458,"","",NA,NA,NA,NA,"hess","simulated-training-pool","region010","region","A","C","fit_30","cov","region010","native","conditional_gaussian_plugin_delta","conditional_gaussian_plugin_delta_normal","not_requested",TRUE,TRUE,FALSE,"available",FALSE,119
