"analysis","scope","component","region","quantity","trait1","trait2","estimate","truth","lower","upper","interval_kind","uncertainty_reason"
"ldsc_h2","reference","all",NA,"h2","A",NA,0.16433356856402,0.295802449290938,-0.00477819698781598,0.333445334115855,"normal_approximation:block_jackknife",""
"ldsc_h2","reference","all",NA,"h2","B",NA,0.284597054766706,0.395688758064875,0.108700334107139,0.460493775426272,"normal_approximation:block_jackknife",""
"ldsc_h2","reference","all",NA,"h2","C",NA,0.196657957881382,0.346722334458972,0.0231100068841106,0.370205908878653,"normal_approximation:block_jackknife",""
"ldsc_rg","reference","all",NA,"rg","A","B",0.591041164206129,0.579985679359652,-0.0413200259768689,1.22340235438913,"normal_approximation:block_jackknife",""
"ldsc_rg","reference","all",NA,"rg","A","C",0.636570289989258,0.576870512794802,-0.131464313046839,1.40460489302535,"normal_approximation:block_jackknife",""
"ldsc_rg","reference","all",NA,"rg","B","C",1.09482156046766,0.726436203745438,0.445831953651138,1.74381116728418,"normal_approximation:block_jackknife",""
"gnova_h2","reference","all",NA,"h2","A",NA,0.160016268054628,0.295802449290938,-0.00766556686312056,0.327698102972377,"normal_approximation:block_jackknife",""
"gnova_h2","reference","all",NA,"h2","B",NA,0.279224064739718,0.395688758064875,0.106215854365024,0.452232275114412,"normal_approximation:block_jackknife",""
"gnova_h2","reference","all",NA,"h2","C",NA,0.194966213551067,0.346722334458972,0.0228877197027847,0.36704470739935,"normal_approximation:block_jackknife",""
"gnova_rg","reference","all",NA,"rg","A","B",0.592927805763628,0.579985679359652,-0.0523870441350274,1.23824265566228,"normal_approximation:block_jackknife",""
"gnova_rg","reference","all",NA,"rg","A","C",0.63450338797089,0.576870512794802,-0.146972607049559,1.41597938299134,"normal_approximation:block_jackknife",""
"gnova_rg","reference","all",NA,"rg","B","C",1.09416884884232,0.726436203745438,0.438341170765207,1.74999652691944,"normal_approximation:block_jackknife",""
"sumher_h2","reference","all",NA,"h2","A",NA,0.16433364302832,0.295802449290938,-0.00477813417848946,0.33344542023513,"normal_approximation:fixed_weight_block_jackknife",""
"sumher_h2","reference","all",NA,"h2","B",NA,0.284597089516925,0.395688758064875,0.108700354312492,0.460493824721358,"normal_approximation:fixed_weight_block_jackknife",""
"sumher_h2","reference","all",NA,"h2","C",NA,0.196657959022229,0.346722334458972,0.0231100071610188,0.37020591088344,"normal_approximation:fixed_weight_block_jackknife",""
"sumher_rg","reference","all",NA,"rg","A","B",0.591040996940199,0.579985679359652,-0.0413199618685745,1.22340195574897,"normal_approximation:fixed_weight_block_jackknife",""
"sumher_rg","reference","all",NA,"rg","A","C",0.636570146603886,0.576870512794802,-0.131464231581493,1.40460452478927,"normal_approximation:fixed_weight_block_jackknife",""
"sumher_rg","reference","all",NA,"rg","B","C",1.09482149158415,0.726436203745438,0.445831936852776,1.74381104631552,"normal_approximation:fixed_weight_block_jackknife",""
"hess_cov","region","region","region001","cov","A","B",0.0612308789770735,0.0498653962742753,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region002","cov","A","B",0.00105864751492005,7.57630821297854e-37,-0.011438018752315,0.0135553137821551,"normal_approximation:conditional_gaussian_plugin_delta",""
"hess_cov","region","region","region003","cov","A","B",-0.00066620956899883,0.00141397890446085,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region004","cov","A","B",-3.75618288032907e-06,0.000843828578519918,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region005","cov","A","B",-0.00722463344752028,0.00116782528764939,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region006","cov","A","B",0.00222271717347428,0.000770015032588227,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region007","cov","A","B",0.00105023279299268,0.00200401509198095,-0.0066516425073786,0.00875210809336396,"normal_approximation:conditional_gaussian_plugin_delta",""
"hess_cov","region","region","region008","cov","A","B",0.00590608315177336,0.00127028031437362,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region009","cov","A","B",-0.00638012882111003,0.00156078527766965,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region010","cov","A","B",-0.0036762455027834,0.000577608681538967,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region011","cov","A","B",-7.38671510052004e-06,0.00147581671745886,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region012","cov","A","B",-0.00089862592156051,0.000929466107670678,-0.00810916163848961,0.00631190979536859,"normal_approximation:conditional_gaussian_plugin_delta",""
"hess_cov","region","region","region013","cov","A","B",-0.00158211287658185,0.00239299332268338,-0.00890691985544208,0.00574269410227838,"normal_approximation:conditional_gaussian_plugin_delta",""
"hess_cov","region","region","region014","cov","A","B",5.23689463035443e-05,0.0024218319164453,-0.00806054347863856,0.00816528137124565,"normal_approximation:conditional_gaussian_plugin_delta",""
"hess_cov","region","region","region015","cov","A","B",-0.00115900892521644,0.00143815313220081,NA,NA,"unavailable","HESS joint uncertainty requires positive semidefinite plug-in genetic and residual matrices"
"hess_cov","region","region","region016","cov","A","B",0.000756513962906474,5.24078621967826e-05,-0.00678406173044094,0.00829708965625389,"normal_approximation:conditional_gaussian_plugin_delta",""
