"repetition","scenario","metric","truth","estimate","error","auxiliary"
1,"Block residual","left",0.545328655473319,0.545564992529563,0.000236337056243596,NA
1,"Block residual","right",0.835477328273097,0.831089251051619,-0.00438807722147727,NA
1,"BayesS exponent","S",-0.5,-0.32294664921625,0.17705335078375,NA
1,"Effect covariance","1,1",0.00309370666083504,0.00348590102271567,0.000392194361880631,NA
1,"Effect covariance","2,1",0.00115748296479515,0.00142206617633326,0.000264583211538104,NA
1,"Effect covariance","3,1",-0.000141225199152518,-6.89899125374647e-05,7.22352866150529e-05,NA
1,"Effect covariance","2,2",0.0028312070244395,0.00279154108702202,-3.96659374174804e-05,NA
1,"Effect covariance","3,2",0.000614692298569269,0.00094274771585634,0.000328055417287071,NA
1,"Effect covariance","3,3",0.00243488670053926,0.00220021040945675,-0.000234676291082507,NA
1,"Sampling covariance","1,1",0.743399210582302,0.755479715715267,0.0120805051329653,NA
1,"Sampling covariance","2,1",0.14416623457788,0.1114958551349,-0.03267037944298,NA
1,"Sampling covariance","3,1",0.0588402309027824,0.0706854000300943,0.0118451691273119,NA
1,"Sampling covariance","2,2",0.818546065638473,0.795086506886945,-0.0234595587515274,NA
1,"Sampling covariance","3,2",0.106120375183092,0.123126841419324,0.0170064662362321,NA
1,"Sampling covariance","3,3",0.83159298730998,0.839204357373471,0.00761137006349066,NA
1,"LD relocation","score correlation",0.989486879943628,0.989324396833095,-0.000162483110532574,0.432605111294312
2,"Block residual","left",0.568795502348189,0.567298702657361,-0.00149679969082772,NA
2,"Block residual","right",0.839442470816546,0.834255696821993,-0.00518677399455325,NA
2,"BayesS exponent","S",-0.5,-0.270931535663754,0.229068464336246,NA
2,"Effect covariance","1,1",0.00319639934901441,0.00407012221653227,0.000873722867517859,NA
2,"Effect covariance","2,1",0.00182132504404559,0.00221447932339019,0.0003931542793446,NA
2,"Effect covariance","3,1",0.000785343990556908,0.00116560646284029,0.000380262472283384,NA
2,"Effect covariance","2,2",0.00308946858190993,0.00309152091007307,2.05232816313924e-06,NA
2,"Effect covariance","3,2",0.00138535725297665,0.0015956587036865,0.00021030145070985,NA
2,"Effect covariance","3,3",0.00236878649663356,0.00243672541817751,6.79389215439501e-05,NA
2,"Sampling covariance","1,1",0.714630506172144,0.707954160994491,-0.00667634517765348,NA
2,"Sampling covariance","2,1",0.138380006416143,0.17096249676526,0.0325824903491173,NA
2,"Sampling covariance","3,1",0.0576994470354641,0.0786506043580977,0.0209511573226336,NA
2,"Sampling covariance","2,2",0.784518612334296,0.770464430683849,-0.0140541816504469,NA
2,"Sampling covariance","3,2",0.103907380069477,0.0876879084894114,-0.0162194715800653,NA
2,"Sampling covariance","3,3",0.831851737408891,0.819387622940254,-0.0124641144686364,NA
2,"LD relocation","score correlation",0.981772640051893,0.981485776902704,-0.000286863149189021,0.422964509394572
3,"Block residual","left",0.530791018662632,0.530895200028885,0.000104181366252898,NA
3,"Block residual","right",0.789465984007307,0.790817882117936,0.0013518981106293,NA
3,"BayesS exponent","S",-0.5,-0.783131697532403,-0.283131697532403,NA
3,"Effect covariance","1,1",0.00379830658024879,0.00438774274117028,0.000589436160921491,NA
3,"Effect covariance","2,1",0.00164630140457266,0.00189165528761634,0.000245353883043677,NA
3,"Effect covariance","3,1",0.000737192052181581,0.000668043080419166,-6.91489717624146e-05,NA
3,"Effect covariance","2,2",0.00281831747573368,0.00284268010478661,2.43626290529265e-05,NA
3,"Effect covariance","3,2",0.00106847035805678,0.00124260532638186,0.000174134968325078,NA
3,"Effect covariance","3,3",0.00278003309364716,0.00311815381837885,0.000338120724731695,NA
3,"Sampling covariance","1,1",0.683266288992528,0.688816797628214,0.00555050863568596,NA
3,"Sampling covariance","2,1",0.135560602933348,0.156815945897352,0.0212553429640034,NA
3,"Sampling covariance","3,1",0.0541597975940005,0.0537271610368967,-0.000432636557103801,NA
3,"Sampling covariance","2,2",0.787435698421545,0.787076034728692,-0.000359663692853673,NA
3,"Sampling covariance","3,2",0.0999317468083683,0.0618095710936487,-0.0381221757147195,NA
3,"Sampling covariance","3,3",0.766563697816617,0.766176462480135,-0.000387235336481884,NA
3,"LD relocation","score correlation",0.982449438310869,0.982403712418295,-4.57258925741222e-05,0.538493723849372
4,"Block residual","left",0.546065400460394,0.543000592285578,-0.00306480817481569,NA
4,"Block residual","right",0.817814611196306,0.815319546927471,-0.00249506426883539,NA
4,"BayesS exponent","S",-0.5,-0.301183569901869,0.198816430098131,NA
4,"Effect covariance","1,1",0.00359662638187135,0.00357507794533165,-2.15484365397012e-05,NA
4,"Effect covariance","2,1",0.001461567187337,0.0013050395055657,-0.000156527681771302,NA
4,"Effect covariance","3,1",0.000215561363853265,0.000278795205181403,6.32338413281386e-05,NA
4,"Effect covariance","2,2",0.00308913643019478,0.00328466691654653,0.00019553048635175,NA
4,"Effect covariance","3,2",0.00108239985261664,0.00111877908046704,3.63792278504063e-05,NA
4,"Effect covariance","3,3",0.00254078160949251,0.00267658840190086,0.000135806792408349,NA
4,"Sampling covariance","1,1",0.716642551140854,0.735964826417796,0.0193222752769422,NA
4,"Sampling covariance","2,1",0.13801284482118,0.144877896941232,0.00686505212005181,NA
4,"Sampling covariance","3,1",0.0565512735093426,0.0519295595007706,-0.00462171400857196,NA
4,"Sampling covariance","2,2",0.77817009143693,0.744261660230956,-0.0339084312059735,NA
4,"Sampling covariance","3,2",0.10128432890651,0.0885215414802867,-0.0127627874262232,NA
4,"Sampling covariance","3,3",0.796831263333298,0.793374138918186,-0.00345712441511248,NA
4,"LD relocation","score correlation",0.983524745929228,0.983552019364441,2.72734352124715e-05,0.32057119205298
5,"Block residual","left",0.531727390919487,0.532491630659892,0.000764239740405626,NA
5,"Block residual","right",0.820506354664951,0.816529437319547,-0.00397691734540351,NA
5,"BayesS exponent","S",-0.5,-0.296965902086762,0.203034097913238,NA
5,"Effect covariance","1,1",0.00368100462154643,0.00325883297971323,-0.000422171641833201,NA
5,"Effect covariance","2,1",0.00105466207066933,0.00114995183790537,9.52897672360418e-05,NA
5,"Effect covariance","3,1",-9.74709833031405e-05,-0.000283472489872383,-0.000186001506569242,NA
5,"Effect covariance","2,2",0.00241512602401281,0.00211556563428627,-0.000299560389726545,NA
5,"Effect covariance","3,2",0.000438161624478472,5.22346763945295e-05,-0.000385926948083943,NA
5,"Effect covariance","3,3",0.0027582557875396,0.00253002312348149,-0.000228232664058109,NA
5,"Sampling covariance","1,1",0.721057354466946,0.754895660723218,0.0338383062562717,NA
5,"Sampling covariance","2,1",0.145154017569172,0.168110633129022,0.0229566155598504,NA
5,"Sampling covariance","3,1",0.0588087275904139,0.072809934421096,0.0140012068306821,NA
5,"Sampling covariance","2,2",0.855512620728509,0.846474659720856,-0.00903796100765308,NA
5,"Sampling covariance","3,2",0.110099153877945,0.105264985508417,-0.00483416836952782,NA
5,"Sampling covariance","3,3",0.856441951315238,0.818671821236169,-0.0377701300790687,NA
5,"LD relocation","score correlation",0.983620789478497,0.983558040083424,-6.27493950736691e-05,0.393844221105528
