"repetition","method","target_h2","reference_truth_h2","h2_mean","h2_lower","h2_upper","interval_contains_truth","residual_variance","effect_variance","active_probability","active_markers","effect_correlation","score_correlation","score_calibration","max_rhat","min_ess_bulk","elapsed_seconds"
1,"BayesC",0.3,0.302052824597193,0.289303408996986,0.249152585070858,0.331946412644298,TRUE,0.709796743428705,0.0064738180901884,0.0206168885526059,44.3485714285714,0.93691585008095,0.95928438735533,1.01453835125506,1.00130289035367,1362.38923309662,1.92
1,"BayesR",0.3,0.310426371255824,0.306899109877324,0.265743259989765,0.350032344244681,TRUE,0.691697913352461,0.103548296425823,0.0210439268937523,47.2557,0.927922987354525,0.942901693551988,0.980622070564034,1.00095556605552,1458.89511534559,30.37
2,"BayesC",0.3,0.294020794001078,0.32926018412255,0.286686844528027,0.373285498719654,TRUE,0.66937355102107,0.00832311183450705,0.0198796694140808,39.7475,0.901894939818204,0.922188213642235,0.872846228550809,1.00155991128961,1383.01086957385,0.920000000000002
2,"BayesR",0.3,0.325441211952518,0.287301224865859,0.248573589449016,0.329093886465783,TRUE,0.711433508653224,0.0798301783190477,0.0204932235986826,43.3501,0.949589555938982,0.953433943694472,1.0253345875864,1.00415625663314,1182.24887350493,17.11
3,"BayesC",0.3,0.297498099664691,0.284541659099257,0.242212160500416,0.329124355204653,TRUE,0.714836957662936,0.00667377416444187,0.0204544231617195,43.2757142857143,0.906952865267847,0.921468128649033,0.974709949645256,1.00367441152276,1240.11734838364,0.879999999999995
3,"BayesR",0.3,0.321606759069286,0.296965245783995,0.256818028383955,0.338477585499147,TRUE,0.701567507977893,0.0670814938658495,0.0207972100950675,45.4694,0.936825400701063,0.938705151941503,0.984172616556485,1.00472141686457,1376.51984183085,18.92
4,"BayesC",0.3,0.291476393507586,0.324062359021477,0.281851010627389,0.369421826585546,TRUE,0.675405866408629,0.00728838717788269,0.0206787027416164,45.2153571428571,0.937874272093781,0.947003906796467,0.918539016788955,1.00197310685194,1398.13155771233,0.890000000000015
4,"BayesR",0.3,0.299146466444689,0.297875997805878,0.258097479685146,0.339363142006026,TRUE,0.700822369205922,0.0582843215339145,0.0203318818693174,42.25135,0.96076438180897,0.965622380901686,0.986178655677136,1.00141964743921,2086.12478094776,16.87
5,"BayesC",0.3,0.286232142376383,0.297100598399614,0.255487505804318,0.341199810812376,TRUE,0.701107342023239,0.00689359016098408,0.020561483392858,44.1821428571429,0.949544191537845,0.953983940010087,0.971283386535026,1.0014857891405,1289.46461520106,0.930000000000007
5,"BayesR",0.3,0.303096046775927,0.296465449703334,0.257318579587553,0.337720069647501,TRUE,0.702656938091177,0.0615314580039418,0.0203068973978482,42.3018,0.940491531488149,0.95577978111113,0.981349754793714,1.00227245007917,1363.6837280281,17.02
