"method","trait","pathway","p_value","pip"
"ora","A","enriched",0.0107864907829362,NA
"ora","A","background",0.522871463668135,NA
"ora","A","mixed",0.812213172785761,NA
"ora","B","enriched",0.00110124017675731,NA
"ora","B","background",0.789294739199752,NA
"ora","B","mixed",0.625754600558335,NA
"ora","C","enriched",0.00362649836723549,NA
"ora","C","background",0.531867485277875,NA
"ora","C","mixed",0.840681220120024,NA
"preranked","A","enriched",0.00111482720178372,NA
"preranked","A","background",0.28602383531961,NA
"preranked","A","mixed",0.567596566523605,NA
"preranked","B","enriched",0.00106044538706257,NA
"preranked","B","background",0.705699481865285,NA
"preranked","B","mixed",0.880332986472425,NA
"preranked","C","enriched",0.00106951871657754,NA
"preranked","C","background",0.383490073145246,NA
"preranked","C","mixed",0.792887029288703,NA
"competitive","A","enriched",6.24514248164669e-07,NA
"competitive","A","background",0.083428843124017,NA
"competitive","A","mixed",0.540821705374468,NA
"competitive","B","enriched",3.85048452746634e-07,NA
"competitive","B","background",0.284233416018497,NA
"competitive","B","mixed",0.918407942128707,NA
"competitive","C","enriched",2.9275293661949e-06,NA
"competitive","C","background",0.0699911316531911,NA
"competitive","C","mixed",0.668876777695921,NA
"magma","A","enriched",0.00856530148782863,NA
"magma","A","background",0.338931262914959,NA
"magma","A","mixed",0.511395031304921,NA
"magma","B","enriched",0.000771210002518728,NA
"magma","B","background",0.522133965704987,NA
"magma","B","mixed",0.914558940440901,NA
"magma","C","enriched",0.00182473920875694,NA
"magma","C","background",0.114043760089019,NA
"magma","C","mixed",0.626394356487161,NA
"bayesc","A","enriched",NA,0.9995
"bayesc","A","background",NA,0.0705
"bayesc","A","mixed",NA,0.0315
