"analysis","quantity","trait1","trait2","planned","completed","finite","mean_truth","mean_estimate","bias","rmse","intervals","covered","interval_kind"
"gnova_rg","rg","A","B",10,10,10,0.569567095992498,0.619139259046368,0.0495721630538708,0.341196522685051,10,10,"normal_approximation:block_jackknife"
"ldsc_annotation_rg","rg","A","B",10,10,10,0.569567095992498,0.572014838342774,0.00244774235027643,0.190534569147911,10,10,"normal_approximation:block_jackknife"
"ldsc_rg","rg","A","B",10,10,10,0.569567095992498,0.616162307314877,0.046595211322379,0.330362411198552,10,10,"normal_approximation:block_jackknife"
"sumher_rg","rg","A","B",10,10,10,0.569567095992498,0.616162056872372,0.0465949608798744,0.330362263934327,10,10,"normal_approximation:fixed_weight_block_jackknife"
"gnova_rg","rg","A","C",10,10,10,0.567244385207432,0.635856488803972,0.0686121035965401,0.252512517871713,10,10,"normal_approximation:block_jackknife"
"ldsc_annotation_rg","rg","A","C",10,10,10,0.567244385207432,0.586085100300644,0.0188407150932119,0.138674866163561,10,10,"normal_approximation:block_jackknife"
"ldsc_rg","rg","A","C",10,10,10,0.567244385207432,0.636215381353473,0.0689709961460409,0.249064382630966,10,10,"normal_approximation:block_jackknife"
"sumher_rg","rg","A","C",10,10,10,0.567244385207432,0.636215093571109,0.068970708363677,0.249064249444622,10,10,"normal_approximation:fixed_weight_block_jackknife"
"gnova_rg","rg","B","C",10,10,10,0.722657993443299,0.591207799110954,-0.131450194332345,0.245849659043204,10,10,"normal_approximation:block_jackknife"
"ldsc_annotation_rg","rg","B","C",10,10,10,0.722657993443299,0.624776507178593,-0.0978814862647054,0.163763115943547,10,10,"normal_approximation:block_jackknife"
"ldsc_rg","rg","B","C",10,10,10,0.722657993443299,0.591530664035101,-0.131127329408198,0.244181116083279,10,10,"normal_approximation:block_jackknife"
"sumher_rg","rg","B","C",10,10,10,0.722657993443299,0.591530469212415,-0.131127524230884,0.244181124073034,10,10,"normal_approximation:fixed_weight_block_jackknife"
"bayesc","h2","A",NA,10,10,10,0.300479699757883,0.312478210304555,0.011998510546672,0.0125696464279721,10,10,"conditional_equal_tailed_posterior"
"bayesr","h2","A",NA,10,10,10,0.300479699757883,0.307373695715317,0.00689399595743383,0.00989091731964837,10,10,"conditional_equal_tailed_posterior"
"gnova_h2","h2","A",NA,10,10,10,0.300479699757883,0.208873797294385,-0.0916059024634977,0.115010309272851,10,9,"normal_approximation:block_jackknife"
"ldsc_annotation_h2","h2","A",NA,10,10,10,0.300479699757883,0.310351065452206,0.00987136569432353,0.0795215815806903,10,10,"normal_approximation:block_jackknife"
"ldsc_h2","h2","A",NA,10,10,10,0.300479699757883,0.214309690539587,-0.0861700092182957,0.112260424729311,10,9,"normal_approximation:block_jackknife"
"sumher_h2","h2","A",NA,10,10,10,0.300479699757883,0.214309837692749,-0.086169862065134,0.112260398381455,10,9,"normal_approximation:fixed_weight_block_jackknife"
"gnova_h2","h2","B",NA,10,10,10,0.397961024808175,0.326585008458951,-0.0713760163492242,0.119477394535042,10,8,"normal_approximation:block_jackknife"
"ldsc_annotation_h2","h2","B",NA,10,10,10,0.397961024808175,0.439142492546606,0.0411814677384306,0.101469515431612,10,10,"normal_approximation:block_jackknife"
"ldsc_h2","h2","B",NA,10,10,10,0.397961024808175,0.333362526120193,-0.0645984986879818,0.116744735734506,10,9,"normal_approximation:block_jackknife"
"sumher_h2","h2","B",NA,10,10,10,0.397961024808175,0.333362620440352,-0.0645984043678235,0.116744692550588,10,9,"normal_approximation:fixed_weight_block_jackknife"
"gnova_h2","h2","C",NA,10,10,10,0.348578041487668,0.293341039515578,-0.0552370019720898,0.0759931449025065,10,9,"normal_approximation:block_jackknife"
"ldsc_annotation_h2","h2","C",NA,10,10,10,0.348578041487668,0.39361754349353,0.0450395020058616,0.077329604177766,10,10,"normal_approximation:block_jackknife"
"ldsc_h2","h2","C",NA,10,10,10,0.348578041487668,0.299430037491045,-0.0491480039966237,0.0727656479041986,10,9,"normal_approximation:block_jackknife"
"sumher_h2","h2","C",NA,10,10,10,0.348578041487668,0.299430143218256,-0.0491478982694125,0.0727655997094065,10,9,"normal_approximation:fixed_weight_block_jackknife"
