"stage","seconds","started","script_md5","warnings"
"data",176.43962597847,"2026-09-21 15:31:07.564284","70e044a8413cd8e18642c74f0618f8e2",""
"ld",46.7928400039673,"2026-09-21 15:34:04.869308","70e044a8413cd8e18642c74f0618f8e2",""
"gwas",347.80122089386,"2026-09-21 15:34:52.100871","ec3686887bdca6fa17093e4955fab343",""
"gcorr",57.4183979034424,"2026-09-21 15:42:18.097507","46acd535411c6d4c55e414e23a6b3b1c",""
"annotation",12.8305950164795,"2026-09-21 15:43:19.419474","46acd535411c6d4c55e414e23a6b3b1c",""
"gbayes",308.746545791626,"2026-09-21 16:18:12.25288","686657cc966704e6b2c060c1112ccb29",""
"gscore",22.9868080615997,"2026-09-21 16:23:25.208905","686657cc966704e6b2c060c1112ccb29",""
"gmap",2.40235900878906,"2026-09-21 15:53:13.722768","ec46b8af8e6fb6032409189f7c4bc889",""
"gsea",147.373486995697,"2026-09-21 16:32:44.864882","81f9a4f045b57d2dbe08261c67ab14f1",""
"gbayes-summary",229.939351797104,"2026-09-21 17:30:14.508459","696f12a30650465081fa80ef859138e8",""
