"marker","region","true_marginal_effect","estimated_marginal_effect","p_value"
"m00050","region001",0.323689959223239,0.302576616467814,7.67629952418907e-28
"m00125","region002",0.323689959223239,0.274121183024721,4.51557527526774e-23
"m00228","region003",-0.032890120710752,-0.00641111451816804,0.818973002929696
"m00254","region003",-0.0183755104424638,-0.0882480410088349,0.00157211394877621
"m00263","region003",0.00215081947849154,0.0276078375265328,0.317192874387955
"m00279","region003",0.0342455010230884,-0.00398531195951939,0.887625360750742
"m00290","region003",0.00828974285839463,0.00334447707919088,0.905498164554332
"m00302","region004",-0.00482909740536135,-0.000804408303121441,0.976809745223092
"m00309","region004",-0.0215008952658434,-0.0108740492135796,0.692658161688516
"m00313","region004",0.0185556132066203,0.0396535289903594,0.15393546380717
"m00315","region004",0.0235059248374895,-0.00728568097736161,0.794407021986272
"m00332","region004",0.0131760706500663,0.0420348580217704,0.129580389895713
"m00347","region004",0.0165352290292153,0.0114657554805845,0.68378453572943
"m00379","region004",0.00346716411730907,0.0352694438287401,0.209539577999449
"m00399","region004",-0.0143423755021315,0.0136359428096551,0.62344177676262
"m00414","region005",-0.0118526040052072,-0.0229824906432424,0.41406556577172
"m00418","region005",-0.0132274809810015,-0.0183926069135737,0.505213772996341
"m00423","region005",0.0115333159039902,-0.0243442922391279,0.392138665277188
"m00432","region005",-0.0163163505724223,-0.0176177817955776,0.525501439121425
"m00450","region005",0.014471697435869,0.0382913736658235,0.17829250941839
"m00454","region005",-0.0322602340899705,-0.0633313348997271,0.0231219114939502
"m00456","region005",0.0142061700611763,-0.00407480050493717,0.883295651929799
"m00460","region005",-0.0157998495228812,-0.00557910482430248,0.841784798534977
"m00475","region005",-0.0287791867029765,0.00614073969148662,0.826246207950937
"m00479","region005",0.0630040991194297,0.0910273786050118,0.00110699901737496
"m00480","region005",0.00940741597543583,0.0275213828509929,0.327720038035823
"m00481","region005",0.0195183290077759,0.00363079917944162,0.896501942962193
"m00499","region005",-0.00391584412084471,0.00900239028424864,0.754448518734867
"m00538","region006",-0.0154238873696743,-0.0410177001575137,0.145411619493313
"m00546","region006",0.000539768277311926,-0.0144130977676632,0.60694447439627
"m00562","region006",-0.0173811052662928,-0.00630505181140162,0.822323272199513
"m00564","region006",-0.043095461624736,0.00481342981099229,0.863849329450173
"m00568","region006",0.000632255822223366,-0.00194134812950054,0.943788410422762
"m00571","region006",-0.00484617444864212,-0.0162919260269591,0.568994515271398
"m00578","region006",-0.0057329002381152,-0.00337636692431078,0.902614218018409
"m00583","region006",0.0427940569394393,0.0567063063498115,0.0413170327877086
"m00584","region006",0.0220449881619261,-0.00178337057802759,0.948532053553142
"m00590","region006",0.03810840870312,0.00517531228763306,0.853494397000738
"m00600","region006",0.0171208571198463,0.0286713577035941,0.302891487072718
"m00661","region007",-0.0368268716468164,-0.0225393700216332,0.421633905420462
"m00665","region007",0.011597351546407,-0.0206626067123769,0.465127042574623
"m00668","region007",-0.0250529863249875,-0.0148691158757282,0.592978552911255
